iter	RMSE
0	11492.78108
1	11092.99046
2	10696.84448
3	10316.79152
4	9972.014412
5	9632.400216
6	9316.313895
7	9018.876682
8	8720.63507
9	8452.473701
10	8200.244105
11	7951.24853
12	7736.839116
13	7518.489723
14	7313.260619
15	7118.544719
16	6932.183877
17	6760.397348
18	6609.690075
19	6451.913032
20	6319.865225
21	6183.473021
22	6063.061878
23	5938.315173
24	5838.043986
25	5731.274751
26	5629.730691
27	5537.486795
28	5455.511352
29	5373.603047
30	5294.234223
31	5222.624287
32	5152.447563
33	5085.064369
34	5023.144398
35	4963.992995
36	4914.052141
37	4866.082335
38	4821.094244
39	4781.030794
40	4743.362761
41	4706.228777
42	4669.904623
43	4637.763309
44	4607.414824
45	4579.008704
46	4557.180498
47	4532.569114
48	4515.544096
49	4488.788798
50	4467.037649
51	4452.777089
52	4434.464934
53	4417.707183
54	4396.651792
55	4380.461367
56	4364.744597
57	4351.716332
58	4337.627227
59	4318.231972
60	4305.697472
61	4289.212756
62	4276.122
63	4266.365883
64	4260.906577
65	4250.633781
66	4242.935471
67	4234.321599
68	4222.701411
69	4215.057933
70	4206.548232
71	4199.783183
72	4192.694444
73	4186.942948
74	4180.22477
75	4170.775383
76	4164.115486
77	4157.768939
78	4153.70785
79	4149.368024
80	4142.212608
81	4136.826752
82	4127.759893
83	4123.402792
84	4116.520955
85	4111.289249
86	4105.494004
87	4100.271294
88	4095.57761
89	4088.720086
90	4082.075629
91	4077.438073
92	4073.057117
93	4069.541404
94	4067.154199
95	4065.313493
96	4056.591285
97	4050.7127
98	4050.107737
99	4046.843123
100	4043.083501
101	4039.896626
102	4037.420725
103	4033.851004
104	4031.648246
105	4028.164685
106	4023.767551
107	4018.073075
108	4015.284281
109	4011.328188
110	4009.03256
111	4005.754536
112	4002.814392
113	3996.400186
114	3990.053247
115	3988.2955
116	3985.623006
117	3982.920868
118	3976.149119
119	3970.430953
120	3966.90409
121	3962.764224
122	3957.255024
123	3953.951633
124	3950.198494
125	3944.336996
126	3936.374053
127	3933.968562
128	3931.203129
129	3929.150324
130	3925.25785
131	3921.058859
132	3915.774919
133	3909.776285
134	3904.168568
135	3899.631461
136	3897.232728
137	3895.452108
138	3890.461266
139	3887.895625
140	3885.502158
141	3882.083473
142	3879.12389
143	3875.856939
144	3871.017163
145	3869.523674
146	3863.832304
147	3858.415009
148	3855.272798
149	3852.651602
150	3851.925732
151	3849.099098
152	3846.245795
153	3843.327713
154	3840.946217
155	3835.653441
156	3833.554143
157	3830.009578
158	3827.332435
159	3826.822214
160	3825.611079
161	3821.748748
162	3818.089512
163	3814.126216
164	3811.925293
165	3810.304441
166	3805.80042
167	3804.099956
168	3802.563495
169	3800.679254
170	3796.589709
171	3793.427153
172	3790.456286
173	3787.895308
174	3784.9917
175	3782.554127
176	3781.625038
177	3779.658542
178	3778.02997
179	3774.195769
180	3769.445849
181	3767.567284
182	3765.36088
183	3762.919404
184	3760.912345
185	3759.025084
186	3755.671697
187	3750.253147
188	3748.20992
189	3745.26105
190	3742.587513
191	3740.992002
192	3739.210868
193	3735.544843
194	3730.427972
195	3728.360767
196	3724.229461
197	3721.041658
198	3715.045391
199	3712.515598
200	3709.996379
201	3706.721031
202	3704.710317
203	3702.282889
204	3700.252666
205	3695.579013
206	3694.078199
207	3690.625722
208	3688.678323
209	3687.144561
210	3682.617924
211	3680.712785
212	3679.740227
213	3675.620719
214	3673.935962
215	3668.52984
216	3664.050217
217	3662.284146
218	3659.567838
219	3655.437457
220	3653.515568
221	3650.583587
222	3648.35337
223	3647.367472
224	3643.55338
225	3642.317323
226	3640.039217
227	3638.556254
228	3635.154898
229	3633.586667
230	3631.574996
231	3629.449692
232	3625.906188
233	3622.099222
234	3620.183415
235	3616.964389
236	3615.94726
237	3611.583009
238	3608.050103
239	3605.207027
240	3603.984316
241	3600.980995
242	3598.298429
243	3595.436154
244	3594.430769
245	3589.29641
246	3584.478507
247	3579.573632
248	3576.70785
249	3571.701962
250	3569.187404
251	3565.758442
252	3563.447993
253	3559.929253
254	3557.698973
255	3553.088939
256	3550.660904
257	3548.465997
258	3546.278674
259	3543.883114
260	3541.274427
261	3539.778052
262	3537.206768
263	3533.612637
264	3531.88243
265	3530.521857
266	3527.896786
267	3525.344894
268	3522.37327
269	3517.896634
270	3517.035203
271	3515.626713
272	3508.445166
273	3507.200856
274	3503.870624
275	3501.268083
276	3499.311162
277	3496.892258
278	3493.173145
279	3489.295829
280	3486.891369
281	3482.422408
282	3480.241302
283	3478.543636
284	3474.376711
285	3472.392156
286	3469.170567
287	3467.172528
288	3465.602966
289	3462.041441
290	3458.425516
291	3456.674956
292	3452.64597
293	3447.407285
294	3444.349797
295	3441.044592
296	3437.711252
297	3436.312093
298	3433.575406
299	3430.823561
300	3426.856052
301	3423.124643
302	3421.809257
303	3418.201699
304	3416.706359
305	3414.656896
306	3412.963865
307	3412.163777
308	3410.659536
309	3408.028772
310	3406.329901
311	3402.642121
312	3399.708049
313	3397.447285
314	3394.654889
315	3393.462033
316	3391.865035
317	3389.855036
318	3387.895076
319	3384.671625
320	3382.338695
321	3380.232073
322	3378.25033
323	3375.666574
324	3371.803111
325	3369.591677
326	3368.46696
327	3363.429036
328	3360.155553
329	3358.248621
330	3354.979289
331	3351.584035
332	3350.103998
333	3347.938987
334	3345.127642
335	3343.018118
336	3341.653729
337	3336.353083
338	3334.489645
339	3332.298806
340	3330.149241
341	3327.274125
342	3324.53297
343	3322.798838
344	3320.749252
345	3319.356249
346	3317.669963
347	3316.516474
348	3313.170216
349	3310.552367
350	3307.250636
351	3304.133949
352	3302.534343
353	3299.653305
354	3297.335392
355	3295.552613
356	3292.549111
357	3290.823482
358	3286.672328
359	3282.608358
360	3281.316479
361	3280.116153
362	3278.33577
363	3276.547232
364	3274.557345
365	3272.334041
366	3270.606025
367	3266.876983
368	3263.672204
369	3262.523574
370	3260.387621
371	3258.83529
372	3258.01229
373	3256.859567
374	3255.797759
375	3252.587184
376	3250.896885
377	3248.208978
378	3246.434737
379	3245.156249
380	3242.113868
381	3241.008028
382	3238.516092
383	3237.115724
384	3234.62214
385	3232.061237
386	3231.048411
387	3230.347142
388	3228.391941
389	3226.17569
390	3225.251684
391	3222.701895
392	3221.430061
393	3218.797825
394	3216.933805
395	3212.872786
396	3211.072806
397	3209.064353
398	3206.898245
399	3205.244157
400	3204.027032
401	3201.68036
402	3200.726381
403	3200.146576
404	3196.792431
405	3195.997939
406	3193.052732
407	3190.812201
