iter	Passed	Remaining
0	47	2339
1	48	1161
2	48	766
3	49	568
4	49	448
5	50	368
6	50	311
7	51	268
8	51	235
9	52	208
10	52	186
11	52	167
12	53	151
13	53	137
14	53	125
15	54	115
16	54	105
17	54	97
18	55	90
19	55	83
20	56	77
21	56	71
22	56	66
23	57	61
24	57	57
25	57	53
26	58	49
27	58	46
28	59	42
29	59	39
30	59	36
31	60	33
32	60	31
33	60	28
34	61	26
35	61	24
36	62	21
37	62	19
38	62	17
39	63	15
40	63	13
41	64	12
42	64	10
43	64	8
44	65	7
45	65	5
46	66	4
47	66	2
48	66	1
49	67	0
